layerCount,neuronCount,neuronInputCount,trainMACE,testMACE,trainARGM,testARGM
1,1,1,0.05115821,0.05072746,0.0904,0.0852
1,11,1,0.05160771,0.051137645,0.08781666,0.084
11,1,1,0.051660158,0.051171284,0.0881,0.084
1,1,11,0.051353037,0.050619293,0.089266665,0.0847
1,1,21,0.051243,0.050763868,0.08856667,0.0847
21,1,1,0.05120877,0.050685197,0.08705,0.0828
1,21,1,0.05173319,0.051194586,0.088933334,0.0849
31,1,1,0.051493485,0.05098008,0.0888,0.0851
1,31,1,0.05194092,0.051441245,0.088366665,0.0855
1,1,31,0.05101569,0.050506346,0.08995,0.0855
1,41,1,0.05029249,0.049776264,0.08835,0.0843
1,1,41,0.051412962,0.051061828,0.0877,0.0853
41,1,1,0.051297408,0.050631,0.08753333,0.0821
1,51,1,0.051134918,0.050440557,0.08805,0.0839
51,1,1,0.051397882,0.050842296,0.08978333,0.0868
1,1,51,0.05112071,0.050668012,0.08738333,0.0841
1,1,61,0.05210433,0.05178783,0.08981667,0.0879
1,61,1,0.0516483,0.050910376,0.08698333,0.0832
61,1,1,0.049899388,0.049326185,0.08908334,0.0861
1,1,71,0.05115644,0.050922226,0.08755,0.0822
1,71,1,0.05127915,0.050636414,0.09091666,0.0875
71,1,1,0.05119465,0.05036666,0.08793333,0.0854
1,81,1,0.051232267,0.050685138,0.08771667,0.0846
1,1,81,0.051741567,0.051402565,0.08785,0.0847
81,1,1,0.051560313,0.05094376,0.08826666,0.0861
91,1,1,0.050697453,0.050146144,0.08735,0.0829
1,1,91,0.050608553,0.05000674,0.08888333,0.0851
1,91,1,0.051226847,0.050407548,0.089616664,0.0834
1,11,11,0.050915565,0.050361093,0.08695,0.0856
11,11,1,0.05111387,0.05070095,0.08866667,0.0873
11,1,11,0.05116724,0.050612807,0.08756667,0.0851
1,21,11,0.050378874,0.049819943,0.08748333,0.0839
1,11,21,0.051353104,0.05080883,0.0883,0.0849
21,1,11,0.051537357,0.050877437,0.08835,0.0851
11,1,21,0.052191213,0.051736917,0.087466665,0.0854
11,21,1,0.05110785,0.05044847,0.08828333,0.0831
21,11,1,0.05167985,0.051146455,0.08765,0.0828
31,11,1,0.050866265,0.050379213,0.08685,0.0836
1,31,11,0.050253667,0.04958333,0.08703333,0.0837
11,1,31,0.04942311,0.048811357,0.084133334,0.0809
31,1,11,0.050242353,0.04964625,0.0867,0.0849
11,31,1,0.050539274,0.049879648,0.090333335,0.0854
1,11,31,0.050118104,0.049773585,0.08618333,0.0834
21,1,21,0.049817678,0.049264945,0.08496667,0.0822
1,21,21,0.04999767,0.049345616,0.08516667,0.0802
21,21,1,0.05126783,0.050607763,0.0877,0.0832
11,41,1,0.05022053,0.04960642,0.08825,0.0853
1,11,41,0.049712475,0.04919609,0.08341666,0.0796
41,1,11,0.04942435,0.048738346,0.087,0.0816
1,41,11,0.05090299,0.050151996,0.086166665,0.0832
11,1,41,0.049910985,0.04936185,0.08528333,0.0829
41,11,1,0.050368834,0.04978536,0.08875,0.0854
11,51,1,0.05088851,0.050209615,0.08766667,0.083
51,11,1,0.050684124,0.0501155,0.0868,0.0832
51,1,11,0.050597202,0.050011795,0.08581667,0.0824
1,51,11,0.05098414,0.05026421,0.08495,0.0834
1,11,51,0.050029263,0.049728736,0.08415,0.0812
11,1,51,0.049455978,0.04907188,0.0821,0.0794
31,21,1,0.050123367,0.049545243,0.08933333,0.087
21,31,1,0.05107633,0.050701857,0.08873333,0.0859
1,31,21,0.050356835,0.049842548,0.08623333,0.0826
31,1,21,0.049718007,0.049055524,0.08546667,0.0819
21,1,31,0.049670972,0.04927946,0.0837,0.081
1,21,31,0.05029958,0.049845196,0.084916666,0.0823
11,1,61,0.049243204,0.048991833,0.08106667,0.0776
61,11,1,0.05046485,0.049679525,0.08855,0.0857
1,61,11,0.050132554,0.049734637,0.08675,0.0845
11,61,1,0.050197974,0.04952368,0.08646667,0.084
61,1,11,0.049773663,0.04924528,0.086433336,0.0841
1,11,61,0.050524063,0.050294038,0.08115,0.0798
1,11,71,0.04946778,0.0491122,0.082216665,0.0793
71,11,1,0.050656747,0.050164293,0.088366665,0.0849
71,1,11,0.0498352,0.049350332,0.08688334,0.0844
11,1,71,0.04892821,0.04870136,0.08225,0.0805
1,71,11,0.049520314,0.048931945,0.08568333,0.0816
11,71,1,0.05062376,0.04978743,0.0878,0.084
41,1,21,0.04964155,0.049195737,0.0849,0.0818
21,41,1,0.050323796,0.049384102,0.0897,0.0855
1,21,41,0.049556497,0.049185976,0.0838,0.0804
1,41,21,0.05010743,0.04954871,0.08465,0.083
21,1,41,0.048408836,0.047965,0.08236667,0.0787
41,21,1,0.049859233,0.049360186,0.0889,0.0841
81,1,11,0.049998507,0.049497046,0.08575,0.0832
11,81,1,0.050072674,0.04947602,0.08985,0.0847
1,11,81,0.049614597,0.04919866,0.08273333,0.082
11,1,81,0.04905088,0.048619132,0.08471667,0.0808
1,81,11,0.049923636,0.04942581,0.08635,0.0832
81,11,1,0.050816227,0.050306212,0.08776667,0.0836
1,31,31,0.048109077,0.04773751,0.0813,0.0792
31,31,1,0.050542973,0.04986379,0.08685,0.0837
31,1,31,0.05092192,0.050358403,0.08303333,0.0796
11,1,91,0.047698196,0.0474663,0.078616664,0.0751
91,11,1,0.051209643,0.050684903,0.08765,0.0841
1,11,91,0.05039109,0.04986934,0.0843,0.0822
11,91,1,0.0505499,0.049856454,0.08798333,0.0852
1,91,11,0.050639533,0.050253242,0.08501667,0.0836
91,1,11,0.0501251,0.049653243,0.0839,0.0823
51,21,1,0.05087732,0.050204854,0.08805,0.0856
21,1,51,0.048918314,0.048173107,0.08325,0.0785
51,1,21,0.05004769,0.049387384,0.08385,0.081
21,51,1,0.050668545,0.049998034,0.08795,0.0863
1,51,21,0.04961315,0.049330845,0.084233336,0.0836
1,21,51,0.0489106,0.048582684,0.082333334,0.0783
41,31,1,0.050019298,0.04951969,0.0871,0.0845
1,31,41,0.04750275,0.047228683,0.07833333,0.077
1,41,31,0.0493466,0.04874383,0.08115,0.0791
31,1,41,0.04784078,0.047635663,0.07998333,0.0782
41,1,31,0.049038798,0.048509974,0.0829,0.0801
31,41,1,0.049560618,0.048804462,0.08868334,0.0842
61,21,1,0.050680418,0.05003773,0.08873333,0.0856
21,1,61,0.049171567,0.048596933,0.08133333,0.0779
1,21,61,0.048070796,0.047693226,0.079616666,0.0781
21,61,1,0.050431576,0.049883574,0.08731667,0.0836
1,61,21,0.049015295,0.048521798,0.08565,0.0821
61,1,21,0.048030447,0.047496416,0.0798,0.0775
11,11,11,0.04940205,0.048792552,0.08335,0.0794
1,21,71,0.046505928,0.04599226,0.073816665,0.0708
1,71,21,0.048925787,0.048634663,0.08036666,0.0781
71,1,21,0.04786579,0.047097348,0.08225,0.0775
71,21,1,0.051527593,0.050770883,0.0859,0.0816
21,1,71,0.048592668,0.048441097,0.07765,0.0758
21,71,1,0.05076394,0.050239194,0.08693333,0.0843
1,51,31,0.048054244,0.047484484,0.0824,0.0798
51,31,1,0.049724843,0.04904195,0.08628333,0.0848
31,1,51,0.04851561,0.04798839,0.07806667,0.0751
31,51,1,0.05112295,0.050465498,0.087516665,0.087
51,1,31,0.048719723,0.048411686,0.081266664,0.0788
1,31,51,0.047176346,0.046783373,0.07805,0.0744
1,41,41,0.04777937,0.047479667,0.08021667,0.0775
41,41,1,0.05117353,0.050408293,0.0878,0.0851
41,1,41,0.047152985,0.046879552,0.07616667,0.076
1,21,81,0.04689394,0.046818603,0.0764,0.0754
81,1,21,0.04830187,0.047924083,0.08043333,0.079
81,21,1,0.05019093,0.049459316,0.088416666,0.0851
21,1,81,0.046996154,0.04664665,0.0766,0.0763
21,81,1,0.051265024,0.050689496,0.0886,0.085
1,81,21,0.048433673,0.047860876,0.08043333,0.0779
61,31,1,0.04987127,0.049203526,0.086383335,0.083
61,1,31,0.048157126,0.0476235,0.07796667,0.0757
31,61,1,0.05090465,0.050298683,0.08671667,0.0827
31,1,61,0.047090586,0.046523012,0.076016665,0.077
1,31,61,0.047829133,0.04754392,0.079283334,0.0772
1,61,31,0.048786893,0.04840849,0.07836667,0.0778
21,1,91,0.046318967,0.046055526,0.07491667,0.0742
1,91,21,0.047079466,0.046528954,0.07836667,0.0764
1,21,91,0.046890914,0.046618283,0.076733336,0.0745
21,91,1,0.049899247,0.04936773,0.08821667,0.0849
91,1,21,0.047714897,0.04735446,0.079383336,0.0768
91,21,1,0.05091015,0.05018368,0.086566664,0.0837
51,1,41,0.0472779,0.046991654,0.07558333,0.0743
1,41,51,0.046660617,0.046389513,0.0762,0.0747
51,41,1,0.050989885,0.050226483,0.086566664,0.0833
1,51,41,0.04677172,0.04644595,0.076016665,0.0739
41,1,51,0.046150096,0.045849692,0.076416664,0.0737
41,51,1,0.050691895,0.050196625,0.08668333,0.0822
31,1,71,0.045930296,0.045601934,0.07385,0.0738
71,1,31,0.047886144,0.047329955,0.07895,0.0766
31,71,1,0.04975315,0.049287196,0.08776667,0.086
71,31,1,0.05034998,0.049752094,0.08761667,0.0856
1,71,31,0.04640712,0.046080448,0.07625,0.0734
1,31,71,0.046336375,0.045996983,0.072966665,0.0717
1,41,61,0.047996707,0.0476252,0.0761,0.0748
41,61,1,0.050194163,0.04968604,0.087183334,0.084
61,1,41,0.046552666,0.046314836,0.07748333,0.0761
61,41,1,0.04982805,0.049004342,0.0878,0.0824
1,61,41,0.046434503,0.0461127,0.0743,0.0737
41,1,61,0.045764104,0.045431606,0.074533336,0.0736
31,81,1,0.051128034,0.05042953,0.08625,0.0817
1,31,81,0.046711285,0.04632371,0.0754,0.0733
81,31,1,0.049670625,0.049013607,0.08695,0.0828
1,81,31,0.047117084,0.04663649,0.075666666,0.0739
81,1,31,0.046526864,0.046074014,0.07783333,0.0746
31,1,81,0.045867436,0.045392007,0.07446667,0.0728
11,21,11,0.047815148,0.047384374,0.081,0.078
21,11,11,0.047706105,0.047210254,0.08208334,0.0793
11,11,21,0.046918858,0.046595942,0.07885,0.0766
1,51,51,0.046265196,0.046049833,0.07526667,0.0747
51,51,1,0.049919393,0.049307507,0.0875,0.0837
51,1,51,0.04512381,0.044784863,0.070933335,0.0691
1,31,91,0.04519472,0.0447721,0.07055,0.069
91,31,1,0.050027717,0.04925895,0.08603334,0.0819
91,1,31,0.04631276,0.04608458,0.076066665,0.0757
1,91,31,0.046830818,0.04646075,0.07825,0.0757
31,91,1,0.050413173,0.0495668,0.08705,0.0808
31,1,91,0.04579325,0.045299146,0.07196666,0.069
